"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,283541920.000000,NaN,"#",10,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,13382.876845,453.948733,"ms/op",10,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,180.000000,NaN,"#",10,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,225819760.000000,NaN,"#",10,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,13350.068398,84.674028,"ms/op",10,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,180.000000,NaN,"#",10,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,225819760.000000,NaN,"#",10,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1416.473698,189.334976,"ms/op",10,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,25000.000000,NaN,"#",10,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,130799920.000000,NaN,"#",10,"UNIFORM(0,100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,12348.348077,107.821368,"ms/op",10,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,810.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,283531130.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,19758.658646,84.389046,"ms/op",10,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,810.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,283531130.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,13295.716751,413.927547,"ms/op",10,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,270.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,282372280.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,13267.356483,174.560249,"ms/op",10,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,270.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,282372280.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,1480.772700,191.860946,"ms/op",10,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,25000.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,130799920.000000,NaN,"#",10,"UNIFORM(1000000,1100000)",BUCKETED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,12812.097734,168.474218,"ms/op",10,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,810.000000,NaN,"#",10,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:size","avgt",1,5,251612900.000000,NaN,"#",10,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build","avgt",1,5,20201.290103,177.252376,"ms/op",10,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.build:count","avgt",1,5,810.000000,NaN,"#",10,EXP(0.0001),GENERIC,10000000,42
