"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,28627449.552600,4678480.404944,"us/op",16,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,114102770.000000,NaN,"#",16,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,23803355.388200,5797352.413034,"us/op",16,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,114102770.000000,NaN,"#",16,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,14349389.086600,719093.319190,"us/op",16,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,1161499115.000000,NaN,"#",16,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,25229545.446200,3043418.073778,"us/op",16,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,384093240.000000,NaN,"#",16,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,24523600.718200,3088322.579672,"us/op",16,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,384093240.000000,NaN,"#",16,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,14869821.236600,974432.615011,"us/op",16,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,1293749855.000000,NaN,"#",16,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,24479896.101800,2585719.740761,"us/op",16,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1050.000000,NaN,"#",16,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,475786360.000000,NaN,"#",16,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,34343303.842200,3237170.598085,"us/op",16,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1050.000000,NaN,"#",16,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,475786360.000000,NaN,"#",16,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,14237588.560800,1343914.814880,"us/op",16,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1050.000000,NaN,"#",16,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,1312499770.000000,NaN,"#",16,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,31037998.453400,3979108.608505,"us/op",16,EXP(0.0001),RELATIVE,10000000,42
